title,dosage_form,manufacturer,strength,price,url
A-Flox,Powder for Suspension,ACME Laboratories Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 61.61",https://medex.com.bd/brands/6212/a-flox-125mg
A-Flox,IM/IV Injection,ACME Laboratories Ltd.,500 mg/vial,"500 mg vial :
            
                                    ৳ 45.30",https://medex.com.bd/brands/6214/a-flox-500mg
A-Flox,IM/IV Injection,ACME Laboratories Ltd.,250 mg/vial,"250 mg vial :
            
                                    ৳ 35.25",https://medex.com.bd/brands/28226/a-flox-250mg
A-Forte,Soft Gelatin Capsule,Globe Pharmaceuticals Ltd.,50000 IU,Unit Price : ৳ 1.90,https://medex.com.bd/brands/13491/a-forte-50000iu
A-Kit,Tablet,ACME Laboratories Ltd.,200 mg+200 mcg,"5 tablet kit :
            
                                    ৳ 300.00",https://medex.com.bd/brands/28227/a-kit-200mg
A-Meb,Tablet,ACME Laboratories Ltd.,135 mg,Unit Price : ৳ 6.01,https://medex.com.bd/brands/16609/a-meb-135mg
A-Mectin,Tablet,ACME Laboratories Ltd.,6 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/28704/a-mectin-6mg
A-Mectin,Tablet,ACME Laboratories Ltd.,12 mg,Unit Price : ৳ 30.00,https://medex.com.bd/brands/28705/a-mectin-12mg
A-Mectin Plus,SC Injection,ACME Laboratories Ltd.,(10 mg+100 mg)/ml,"5 ml vial :
            
                                    ৳ 75.20",https://medex.com.bd/brands/31319/a-mectin-plus-10mg
A-Mectin Vet,Oral Solution,ACME Laboratories Ltd.,10 mg/ml,"100 ml bottle :
            
                                    ৳ 105.00",https://medex.com.bd/brands/31316/a-mectin-vet-10mg
A-Mectin Vet,SC Injection,ACME Laboratories Ltd.,10 mg/ml,"5 ml vial :
            
                                    ৳ 60.40",https://medex.com.bd/brands/31317/a-mectin-vet-10mg
A-Mectin Vet,Topical Solution,ACME Laboratories Ltd.,5 mg/ml,"15 ml bottle :
            
                                    ৳ 42.00",https://medex.com.bd/brands/31318/a-mectin-vet-5mg
A-Migel,Oral Gel,ACME Laboratories Ltd.,2% w/w,"15 gm tube :
            
                                    ৳ 52.16",https://medex.com.bd/brands/10007/a-migel-2w
A-Mycin,Lotion,Aristopharma Ltd.,3%,"25 ml bottle :
            
                                    ৳ 120.00",https://medex.com.bd/brands/529/a-mycin-3
A-Mycin,Tablet,Aristopharma Ltd.,250 mg,Unit Price : ৳ 5.15,https://medex.com.bd/brands/8425/a-mycin-250mg
A-Mycin,Tablet,Aristopharma Ltd.,500 mg,Unit Price : ৳ 9.00,https://medex.com.bd/brands/8426/a-mycin-500mg
A-Mycin,Powder for Suspension,Aristopharma Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 84.75",https://medex.com.bd/brands/8427/a-mycin-125mg
A-Mycin,Powder for Suspension,Aristopharma Ltd.,250 mg/5 ml,"100 ml bottle :
            
                                    ৳ 100.00",https://medex.com.bd/brands/8428/a-mycin-250mg
A-Mycin,Pediatric Drops,Aristopharma Ltd.,200 mg/5 ml,"60 ml drop :
            
                                    ৳ 60.00",https://medex.com.bd/brands/8429/a-mycin-200mg
A-One,Oral Suspension,Apex Pharmaceuticals Ltd.,120 mg/5 ml,"60 ml bottle :
            
                                    ৳ 20.59",https://medex.com.bd/brands/27175/a-one-120mg
A-One Plus,Tablet,Apex Pharmaceuticals Ltd.,500 mg+65 mg,Unit Price : ৳ 1.50,https://medex.com.bd/brands/27176/a-one-plus-500mg
A-One XR,Tablet (Extended Release),Apex Pharmaceuticals Ltd.,665 mg,Unit Price : ৳ 1.51,https://medex.com.bd/brands/23388/a-one-xr-665mg
A-Pak,Tablet,Benham Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/10/a-pak-100mg
A-Phenicol,Ophthalmic Solution,ACME Laboratories Ltd.,0.5%,"10 ml drop :
            
                                    ৳ 34.50",https://medex.com.bd/brands/8883/a-phenicol-05
A-Phenicol,Ophthalmic Ointment,ACME Laboratories Ltd.,1%,"5 gm tube :
            
                                    ৳ 11.70",https://medex.com.bd/brands/8884/a-phenicol-1
A-Phenicol D,Ophthalmic Solution,ACME Laboratories Ltd.,0.1%+0.5%,"5 ml drop :
            
                                    ৳ 70.21",https://medex.com.bd/brands/15795/a-phenicol-d-0105
A-Rox,Tablet,Ambee Pharmaceuticals Ltd.,150 mg,Unit Price : ৳ 6.53,https://medex.com.bd/brands/8787/a-rox-150mg
A-Rox,Tablet,Ambee Pharmaceuticals Ltd.,300 mg,Unit Price : ৳ 11.04,https://medex.com.bd/brands/8788/a-rox-300mg
A-Rox,Powder for Suspension,Ambee Pharmaceuticals Ltd.,50 mg/5 ml,"50 ml bottle :
            
                                    ৳ 45.14",https://medex.com.bd/brands/8789/a-rox-50mg
A-Sol Vet,Injection,ACME Laboratories Ltd.,(100 mg+0.05 mg)/ml,"30 ml vial :
            
                                    ৳ 151.00",https://medex.com.bd/brands/31323/a-sol-vet-100mg
A-Spasm,Tablet,ACME Laboratories Ltd.,5 mg,Unit Price : ৳ 1.44,https://medex.com.bd/brands/23257/a-spasm-5mg
A-Tetra,Capsule,ACME Laboratories Ltd.,500 mg,Unit Price : ৳ 3.39,https://medex.com.bd/brands/8275/a-tetra-500mg
A-Tetra,Tablet,ACME Laboratories Ltd.,500 mg,Unit Price : ৳ 2.30,https://medex.com.bd/brands/8276/a-tetra-500mg
A-Tetra,Ophthalmic Ointment,ACME Laboratories Ltd.,1%,"3.5 gm tube :
            
                                    ৳ 8.50",https://medex.com.bd/brands/8319/a-tetra-1
A-Zyme,Tablet,ACME Laboratories Ltd.,325 mg,Unit Price : ৳ 3.51,https://medex.com.bd/brands/2432/a-zyme-325mg
AB Kit,Tablet,Renata Limited,200 mg+200 mcg,"5 tablet kit :
            
                                    ৳ 300.00",https://medex.com.bd/brands/26635/ab-kit-200mg
AB-DS,Chewable Tablet,Prime Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/25481/ab-ds-400mg
Abac,Capsule,Chemist Laboratories  Ltd.,500 mg,Unit Price : ৳ 12.50,https://medex.com.bd/brands/6776/abac-500mg
Abac,Powder for Suspension,Chemist Laboratories  Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 81.92",https://medex.com.bd/brands/6777/abac-125mg
Abac,Pediatric Drops,Chemist Laboratories  Ltd.,125 mg/1.25 ml,"15 ml bottle :
            
                                    ৳ 50.00",https://medex.com.bd/brands/6778/abac-125mg
Abaclor,Capsule,ACI Limited,500 mg,Unit Price : ৳ 40.27,https://medex.com.bd/brands/7097/abaclor-500mg
Abaclor,Powder for Suspension,ACI Limited,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 201.35",https://medex.com.bd/brands/7098/abaclor-125mg
Abaclor,Pediatric Drops,ACI Limited,125 mg/1.25 ml,"15 ml bottle :
            
                                    ৳ 125.85",https://medex.com.bd/brands/7099/abaclor-125mg
Abaclor,Capsule,ACI Limited,250 mg,Unit Price : ৳ 21.14,https://medex.com.bd/brands/30731/abaclor-250mg
Abasaglar,SC Injection,Healthcare Pharmaceuticals Ltd.,100 IU/ml,"3 ml pen :
            
                                    ৳ 1,085.00",https://medex.com.bd/brands/26939/abasaglar-100iu
Abasaglar,SC Injection,Healthcare Pharmaceuticals Ltd.,100 IU/ml,"3 ml cartridge :
            
                                    ৳ 723.40",https://medex.com.bd/brands/26940/abasaglar-100iu
Abdolax,Tablet,Incepta Pharmaceuticals Ltd.,10 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/31999/abdolax-10mg
Abdolax,Oral Solution,Incepta Pharmaceuticals Ltd.,5 mg/5 ml,"100 ml bottle :
            
                                    ৳ 150.00",https://medex.com.bd/brands/32000/abdolax-5mg
Abdorin,Tablet,Opsonin Pharma Ltd.,10 mg,Unit Price : ৳ 2.01,https://medex.com.bd/brands/1315/abdorin-10mg
Abdorin,Syrup,Opsonin Pharma Ltd.,10 mg/5 ml,"50 ml bottle :
            
                                    ৳ 30.11",https://medex.com.bd/brands/1316/abdorin-10mg
Abecab,Tablet,ACI Limited,5 mg+20 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/3075/abecab-5mg
Abecab,Tablet,ACI Limited,5 mg+40 mg,Unit Price : ৳ 19.00,https://medex.com.bd/brands/3076/abecab-5mg
Aben-DS,Chewable Tablet,Team Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 4.50,https://medex.com.bd/brands/25489/aben-ds-400mg
Abentel,Chewable Tablet,Aristopharma Ltd.,400 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/247/abentel-400mg
Abetis,Tablet,ACI Limited,10 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/2776/abetis-10mg
Abetis,Tablet,ACI Limited,20 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/2777/abetis-20mg
Abetis,Tablet,ACI Limited,40 mg,Unit Price : ৳ 18.00,https://medex.com.bd/brands/2778/abetis-40mg
Abetis Plus,Tablet,ACI Limited,20 mg+12.5 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/2981/abetis-plus-20mg
Abetis Plus,Tablet,ACI Limited,40 mg+12.5 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/22974/abetis-plus-40mg
Abex,Syrup,Ibn Sina Pharmaceuticals Ltd.,(30 mg+100 mg+1.25 mg)/5 ml,"100 ml bottle :
            
                                    ৳ 35.00",https://medex.com.bd/brands/4132/abex-30mg
Abiret,Tablet,Drug International Ltd.,250 mg,Unit Price : ৳ 500.00,https://medex.com.bd/brands/30393/abiret-250mg
Abixa,Tablet,ACI Limited,10 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/32192/abixa-10mg
ABO Kit,Tablet,Globe Pharmaceuticals Ltd.,200 mg+200 mcg,"5 tablet kit :
            
                                    ৳ 280.00",https://medex.com.bd/brands/28147/abo-kit-200mg
Abolib,Capsule,Veritas Pharmaceuticals Ltd.,60 mg,Unit Price : ৳ 10.00,https://medex.com.bd/brands/29592/abolib-60mg
ABpres,Ophthalmic Solution,Navana Pharmaceuticals Ltd.,0.2%+0.5%,"5 ml drop :
            
                                    ৳ 110.00",https://medex.com.bd/brands/18307/abpres-0205
Absol,Syrup,Pharmik Laboratories Ltd.,2 mg/5 ml,"50 ml bottle :
            
                                    ৳ 10.78",https://medex.com.bd/brands/21639/absol-2mg
AC PR,Tablet,Pacific Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/8/ac-pr-100mg
Acaril,Tablet,The White Horse Pharma,50 mg,Unit Price : ৳ 15.00,https://medex.com.bd/brands/222/acaril-50mg
Accolate,Tablet,ACI Limited,20 mg,Unit Price : ৳ 26.26,https://medex.com.bd/brands/32194/accolate-20mg
Ace,Tablet,Square Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 0.80,https://medex.com.bd/brands/10377/ace-500mg
Ace,Oral Suspension,Square Pharmaceuticals Ltd.,120 mg/5 ml,"60 ml bottle :
            
                                    ৳ 20.70",https://medex.com.bd/brands/10380/ace-120mg
Ace,Pediatric Drops,Square Pharmaceuticals Ltd.,80 mg/ml,"30 ml bottle :
            
                                    ৳ 20.70",https://medex.com.bd/brands/10381/ace-80mg
Ace,Suppository,Square Pharmaceuticals Ltd.,125 mg,Unit Price : ৳ 4.03,https://medex.com.bd/brands/10383/ace-125mg
Ace,Suppository,Square Pharmaceuticals Ltd.,250 mg,Unit Price : ৳ 5.03,https://medex.com.bd/brands/10384/ace-250mg
Ace,Suppository,Square Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 8.06,https://medex.com.bd/brands/10385/ace-500mg
Ace,Syrup,Square Pharmaceuticals Ltd.,120 mg/5 ml,"60 ml bottle :
            
                                    ৳ 20.70",https://medex.com.bd/brands/29606/ace-120mg
Ace Plus,Tablet,Square Pharmaceuticals Ltd.,500 mg+65 mg,Unit Price : ৳ 2.51,https://medex.com.bd/brands/10557/ace-plus-500mg
Ace Power,Tablet,Square Pharmaceuticals Ltd.,1000 mg,Unit Price : ৳ 1.39,https://medex.com.bd/brands/28573/ace-power-1000mg
Ace XR,Tablet (Extended Release),Square Pharmaceuticals Ltd.,665 mg,Unit Price : ৳ 1.51,https://medex.com.bd/brands/10378/ace-xr-665mg
Ace-Vet,Bolus Tablet,Square Pharmaceuticals Ltd.,2000 mg,Unit Price : ৳ 2.25,https://medex.com.bd/brands/31128/ace-vet-2000mg
Acebid,Tablet,Beacon Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 4.01,https://medex.com.bd/brands/9/acebid-100mg
Acecard,Tablet,Healthcare Pharmaceuticals Ltd.,1.25 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/2627/acecard-125mg
Acecard,Tablet,Healthcare Pharmaceuticals Ltd.,2.5 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/2628/acecard-25mg
Acecard,Tablet,Healthcare Pharmaceuticals Ltd.,5 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/2629/acecard-5mg
Aceclof,Tablet,Premier Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/17361/aceclof-100mg
Aceclofen,Tablet,Astra Biopharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/11/aceclofen-100mg
Aceclora,Tablet,Marksman Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.02,https://medex.com.bd/brands/13/aceclora-100mg
Acecol,Tablet,Ziska Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/14/acecol-100mg
Acedol,Tablet,Concord Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 4.01,https://medex.com.bd/brands/15/acedol-100mg
Acedol SR,Tablet (Sustained Release),Concord Pharmaceuticals Ltd.,200 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/17364/acedol-sr-200mg
Acedone-Z,Chewable Tablet,Zenith Pharmaceuticals Ltd.,250 mg+400 mg,Unit Price : ৳ 0.42,https://medex.com.bd/brands/17552/acedone-z-250mg
Acedone-Z Plus,Oral Suspension,Zenith Pharmaceuticals Ltd.,(400 mg+400 mg+30 mg)/5 ml,"200 ml bottle :
            
                                    ৳ 55.00",https://medex.com.bd/brands/17562/acedone-z-plus-400mg
Acedone-Z Plus,Chewable Tablet,Zenith Pharmaceuticals Ltd.,400 mg+400 mg+30 mg,Unit Price : ৳ 1.20,https://medex.com.bd/brands/28216/acedone-z-plus-400mg
Acefenac,Tablet,General Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 4.01,https://medex.com.bd/brands/16/acefenac-100mg
Acefra,Capsule,Apollo Pharmaceutical Ltd.,500 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/6779/acefra-500mg
Acefra,Powder for Suspension,Apollo Pharmaceutical Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 78.00",https://medex.com.bd/brands/6780/acefra-125mg
Acegic,Tablet,Belsen Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/17/acegic-100mg
Acelex,Capsule,ACME Laboratories Ltd.,250 mg,Unit Price : ৳ 6.60,https://medex.com.bd/brands/28235/acelex-250mg
Acelex,Capsule,ACME Laboratories Ltd.,500 mg,Unit Price : ৳ 12.50,https://medex.com.bd/brands/28236/acelex-500mg
Acelex,Powder for Suspension,ACME Laboratories Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 77.52",https://medex.com.bd/brands/28237/acelex-125mg
Acelex,Pediatric Drops,ACME Laboratories Ltd.,125 mg/1.25 ml,"15 ml bottle :
            
                                    ৳ 42.66",https://medex.com.bd/brands/28238/acelex-125mg
Acelock,Tablet,Bristol Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/18/acelock-100mg
Acelon,Tablet,Central Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/19/acelon-100mg
Acemox,Tablet,ACME Laboratories Ltd.,250 mg,Unit Price : ৳ 2.00,https://medex.com.bd/brands/226/acemox-250mg
Acenac,Tablet,Medicon Pharmaceuticals Ltd.,100 mg,Unit Price : ৳ 2.73,https://medex.com.bd/brands/20/acenac-100mg
Acenopan,Tablet,RN Pharmaceuticals,100 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/17365/acenopan-100mg
Acep,Tablet,Zenith Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 0.80,https://medex.com.bd/brands/10386/acep-500mg
Acep,Oral Suspension,Zenith Pharmaceuticals Ltd.,120 mg/5 ml,"60 ml bottle :
            
                                    ৳ 16.11",https://medex.com.bd/brands/10387/acep-120mg
Acep,Pediatric Drops,Zenith Pharmaceuticals Ltd.,80 mg/ml,"15 ml bottle :
            
                                    ৳ 11.00",https://medex.com.bd/brands/10388/acep-80mg
Acep Plus,Tablet,Zenith Pharmaceuticals Ltd.,500 mg+65 mg,Unit Price : ৳ 1.50,https://medex.com.bd/brands/10558/acep-plus-500mg
Acepril,Tablet,Drug International Ltd.,5 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/2607/acepril-5mg
Acepril,Tablet,Drug International Ltd.,10 mg,Unit Price : ৳ 7.00,https://medex.com.bd/brands/2608/acepril-10mg
Acepro,Tablet,The White Horse Pharma,100 mg,Unit Price : ৳ 4.00,https://medex.com.bd/brands/21/acepro-100mg
Aceptin-R,Tablet,Asiatic Laboratories Ltd.,150 mg,Unit Price : ৳ 2.00,https://medex.com.bd/brands/1675/aceptin-r-150mg
Aceril,Tablet,Ibn Sina Pharmaceuticals Ltd.,5 mg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/24073/aceril-5mg
Aceril,Tablet,Ibn Sina Pharmaceuticals Ltd.,2.5 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/24072/aceril-25mg
Acerux,IV Infusion,Opsonin Pharma Ltd.,250 mg/vial,"250 mg vial :
            
                                    ৳ 400.00",https://medex.com.bd/brands/127/acerux-250mg
Acerux,IV Infusion,Opsonin Pharma Ltd.,500 mg/vial,"500 mg vial :
            
                                    ৳ 700.00",https://medex.com.bd/brands/128/acerux-500mg
Acerux,Tablet,Opsonin Pharma Ltd.,800 mg,Unit Price : ৳ 30.00,https://medex.com.bd/brands/29460/acerux-800mg
Acerux,Tablet,Opsonin Pharma Ltd.,200 mg,Unit Price : ৳ 14.05,https://medex.com.bd/brands/141/acerux-200mg
Acerux,Ophthalmic Ointment,Opsonin Pharma Ltd.,3%,"3 gm tube :
            
                                    ৳ 45.17",https://medex.com.bd/brands/231/acerux-3
Acerux,Tablet,Opsonin Pharma Ltd.,400 mg,Unit Price : ৳ 22.00,https://medex.com.bd/brands/142/acerux-400mg
Acerux,Oral Suspension,Opsonin Pharma Ltd.,200 mg/5 ml,"70 ml bottle :
            
                                    ৳ 125.47",https://medex.com.bd/brands/143/acerux-200mg
Acerux,Cream,Opsonin Pharma Ltd.,5% w/w,"5 gm tube :
            
                                    ৳ 40.15",https://medex.com.bd/brands/17435/acerux-5w
Acerux-H,Cream,Opsonin Pharma Ltd.,5%+1%,"5 gm tube :
            
                                    ৳ 35.00",https://medex.com.bd/brands/31268/acerux-h-51
Aces Plus,Tablet,Ambee Pharmaceuticals Ltd.,,Unit Price : ৳ 4.00,https://medex.com.bd/brands/31935/aces-plus
Aceta,Oral Suspension,Biopharma Laboratories Ltd.,120 mg/5 ml,"60 ml bottle :
            
                                    ৳ 20.62",https://medex.com.bd/brands/10390/aceta-120mg
Aceta,Tablet,Biopharma Laboratories Ltd.,500 mg,Unit Price : ৳ 0.80,https://medex.com.bd/brands/10389/aceta-500mg
Aceta Extend,Tablet (Extended Release),Biopharma Laboratories Ltd.,665 mg,Unit Price : ৳ 1.49,https://medex.com.bd/brands/23437/aceta-extend-665mg
Aceta One,Tablet,Biopharma Laboratories Ltd.,1000 mg,Unit Price : ৳ 1.39,https://medex.com.bd/brands/31963/aceta-one-1000mg
Aceta-PD,Pediatric Drops,Biopharma Laboratories Ltd.,80 mg/ml,"30 ml bottle :
            
                                    ৳ 20.70",https://medex.com.bd/brands/10391/aceta-pd-80mg
Aceta-T,Tablet,Biopharma Laboratories Ltd.,325 mg+37.5 mg,Unit Price : ৳ 10.68,https://medex.com.bd/brands/10782/aceta-t-325mg
Aceta-X,Tablet,Biopharma Laboratories Ltd.,500 mg+65 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/10559/aceta-x-500mg
Aceto,Tablet,Reliance Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 0.79,https://medex.com.bd/brands/10392/aceto-500mg
Acetor,Tablet,Drug International Ltd.,25 mg,Unit Price : ৳ 3.00,https://medex.com.bd/brands/2594/acetor-25mg
